Fecha y Hora de Inicio (dd/MM/aaaa  HH:mm:ss),Fecha y Hora de Finalización (dd/MM/aaaa  HH:mm:ss),"PM10 (ug/m3)
Condición Estándar",Velocidad del Viento (m/s),Dirección del viento (Grados),Temperatura 10cm (°C),Precipitación (mm),Presión atmosférica (mm Hg),Humedad Relativa 10m (%),Radiación Solar Global (W/m2)
01/01/2022 12:00:00 AM,01/01/2022 12:59:59 AM,17.0255392,0.1461538,97.2666667,23.6076923,0,756.1307692,93.948718,0
01/01/2022 01:00:00 AM,01/01/2022 01:59:59 AM,14.8930954,0.35,224.2789474,22.7947368,0,755.6111842,94.4447368,0
01/01/2022 02:00:00 AM,01/01/2022 02:59:59 AM,11.7857413,0.2564103,179.6846154,22.225641,0,755.2923077,95.2589744,0
01/01/2022 03:00:00 AM,01/01/2022 03:59:59 AM,16.259467,0.3923077,206.8487179,22.0897436,0,755.3,95.1384615,0
01/01/2022 04:00:00 AM,01/01/2022 04:59:59 AM,18.612182,0.5368421,270.2789474,21.9473684,0,755.4848684,95.3578947,0
01/01/2022 05:00:00 AM,01/01/2022 05:59:59 AM,16.010036,0.3105263,148.7973684,21.8157895,0,755.8243421,95.3631579,0
01/01/2022 06:00:00 AM,01/01/2022 06:59:59 AM,19.8516474,0.3897436,166.7923077,21.7589744,0,756.1769231,95.574359,8.8564103
01/01/2022 07:00:00 AM,01/01/2022 07:59:59 AM,21.1794653,0.2512821,79.8974359,23.0153846,0,756.8903846,94.6871795,39.0769231
01/01/2022 08:00:00 AM,01/01/2022 08:59:59 AM,25.2235768,0.4368421,148.6526316,26.1078947,0,757.3302632,81.5526316,59.0736842
01/01/2022 09:00:00 AM,01/01/2022 09:59:59 AM,33.5364585,0.4461538,120.6102564,28.2333333,0,757.3307692,73.2205128,72.9230769
01/01/2022 10:00:00 AM,01/01/2022 10:59:59 AM,51.4543458,0.5846154,170.5871795,30.5153846,0,757.2903846,65.2769231,334.5871795
01/01/2022 11:00:00 AM,01/01/2022 11:59:59 AM,61.0705845,0.9,200.8394737,31.6421053,0,756.9868421,62.3605263,533.7947368
01/01/2022 12:00:00 PM,01/01/2022 12:59:59 PM,59.7770911,1.1289474,205.1421053,32.231579,0,756.4618421,61.5368421,741.6710526
01/01/2022 01:00:00 PM,01/01/2022 01:59:59 PM,67.174042,1.1897436,200.5,32.2179487,0,755.8038462,60.2461539,688.3358974
01/01/2022 02:00:00 PM,01/01/2022 02:59:59 PM,64.8690349,0.9026316,205.9026316,32.6,0,755.2184211,56.5842105,559.7605263
01/01/2022 03:00:00 PM,01/01/2022 03:59:59 PM,51.6237672,0.8657895,205.5897436,31.8538462,0,754.8769231,55.0205128,151.8205128
01/01/2022 04:00:00 PM,01/01/2022 04:59:59 PM,30.0923166,0.6974359,207.8666667,31.1358974,0,754.9307692,57.4974359,58.5384615
01/01/2022 05:00:00 PM,01/01/2022 05:59:59 PM,36.9799773,0.3605263,140.8921053,29.95,0,755.1355263,62.8842105,24.1868421
01/01/2022 06:00:00 PM,01/01/2022 06:59:59 PM,40.8560697,0.3578947,203.0526316,28.1842105,0,755.3407895,71.4789474,0.0342105
01/01/2022 07:00:00 PM,01/01/2022 07:59:59 PM,54.9462926,0.7769231,294.1794872,26.9333333,0,755.7980769,79.1717949,0
01/01/2022 08:00:00 PM,01/01/2022 08:59:59 PM,43.2827801,0.8871795,298.4410256,25.8025641,0,756.3288462,86.0179487,0
01/01/2022 09:00:00 PM,01/01/2022 09:59:59 PM,44.9176338,0.8815789,319.1552632,25.6105263,0,756.4519737,87.9342105,0
01/01/2022 10:00:00 PM,01/01/2022 10:59:59 PM,53.1930495,0.4538462,219.3948718,25.025641,0,756.7519231,89.848718,0
01/01/2022 11:00:00 PM,01/01/2022 11:59:59 PM,31.5756754,0.3871795,234.6589744,24.2153846,0,756.6153846,92.3794872,0
